Acceleration X: -76.84, Y: -55.16, Z: -38.58 m/s^2
Acceleration X: -51.21, Y: -13.48, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 9.76 rad/s

Acceleration X: -113.40, Y: -11.03, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 6.49 rad/s

Acceleration X: 135.76, Y: -8.58, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 3.50 rad/s

Acceleration X: 72.34, Y: -4.90, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 0.23 rad/s

Acceleration X: 1.56, Y: -2.45, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -2.77 rad/s

Acceleration X: -66.77, Y: 0.00, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -5.76 rad/s

Acceleration X: -136.32, Y: 2.46, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.03 rad/s

Acceleration X: 112.84, Y: 6.13, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.02 rad/s

Acceleration X: 49.42, Y: 8.59, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.29 rad/s

Acceleration X: -14.01, Y: 11.04, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.28 rad/s

Acceleration X: -78.65, Y: 13.49, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -21.55 rad/s

Acceleration X: -138.40, Y: 17.17, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.55 rad/s

Acceleration X: 114.44, Y: 19.62, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.54 rad/s

Acceleration X: 57.15, Y: 22.07, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.81 rad/s

Acceleration X: -7.50, Y: 24.52, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -33.80 rad/s

Acceleration X: -70.93, Y: 28.20, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.67 rad/s

Acceleration X: -135.57, Y: 30.65, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.68 rad/s

Acceleration X: 122.17, Y: 33.10, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 26.69 rad/s

Acceleration X: 59.97, Y: 35.55, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.42 rad/s

Acceleration X: -2.23, Y: 39.23, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.42 rad/s

Acceleration X: -68.10, Y: 41.68, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.16 rad/s

Acceleration X: -129.07, Y: 44.13, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 14.16 rad/s

Acceleration X: 122.54, Y: 46.59, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 10.89 rad/s

Acceleration X: 65.25, Y: 50.26, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.90 rad/s

Acceleration X: -3.08, Y: 52.72, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.63 rad/s

Acceleration X: -68.95, Y: 55.17, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 1.37 rad/s

Acceleration X: -137.28, Y: 58.84, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -1.63 rad/s

Acceleration X: 118.01, Y: 61.30, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -4.90 rad/s

Acceleration X: 52.14, Y: 63.75, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -7.89 rad/s

Acceleration X: -11.29, Y: 66.20, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -10.89 rad/s

Acceleration X: -77.16, Y: 69.88, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -14.15 rad/s

Acceleration X: -135.68, Y: 72.33, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -17.15 rad/s

Acceleration X: 117.16, Y: 74.78, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -20.42 rad/s

Acceleration X: 61.10, Y: 77.23, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -23.41 rad/s

Acceleration X: -4.78, Y: 80.91, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -26.68 rad/s

Acceleration X: -68.21, Y: 83.36, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -29.67 rad/s

Acceleration X: -131.63, Y: 85.81, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -32.67 rad/s

Acceleration X: 127.34, Y: 88.26, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 33.81 rad/s

Acceleration X: 63.92, Y: 91.94, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 30.82 rad/s

Acceleration X: 2.95, Y: 94.39, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 27.55 rad/s

Acceleration X: -64.16, Y: 96.85, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 24.55 rad/s

Acceleration X: -123.90, Y: 99.30, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 21.56 rad/s

Acceleration X: 127.72, Y: 102.97, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 18.29 rad/s

Acceleration X: 74.10, Y: 105.43, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 15.30 rad/s

Acceleration X: 10.68, Y: 107.88, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 12.03 rad/s

Acceleration X: -46.62, Y: 110.33, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 9.04 rad/s

Acceleration X: -112.49, Y: 114.01, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 6.04 rad/s

Acceleration X: 145.25, Y: 116.46, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.77 rad/s

Acceleration X: 84.28, Y: 118.91, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.22 rad/s

Acceleration X: 22.08, Y: 122.59, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.49 rad/s

Acceleration X: -42.57, Y: 125.04, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.48 rad/s

Acceleration X: 65.63, Y: 127.49, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.75 rad/s

Acceleration X: 0.98, Y: 129.94, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.47 rad/s

Acceleration X: -58.77, Y: 133.62, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.74 rad/s

Acceleration X: -119.74, Y: 136.07, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.74 rad/s

Acceleration X: 140.46, Y: 138.52, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -22.00 rad/s

Acceleration X: 81.94, Y: 140.98, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -25.00 rad/s

Acceleration X: 22.19, Y: 144.65, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -28.26 rad/s

Acceleration X: -37.56, Y: 147.10, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -31.26 rad/s

Acceleration X: -94.85, Y: 149.56, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -34.25 rad/s

Acceleration X: -155.82, Y: 152.01, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.22 rad/s

Acceleration X: 103.15, Y: 155.69, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.23 rad/s

Acceleration X: 44.63, Y: -155.68, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 25.96 rad/s

Acceleration X: -11.44, Y: -153.22, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 22.97 rad/s

Acceleration X: -72.41, Y: -150.77, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 19.97 rad/s

Acceleration X: -129.70, Y: -147.09, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 16.71 rad/s

Acceleration X: 126.82, Y: -144.64, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 13.71 rad/s

Acceleration X: 73.20, Y: -142.19, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 10.44 rad/s

Acceleration X: 11.00, Y: -139.74, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.45 rad/s

Acceleration X: -49.97, Y: -136.06, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.45 rad/s

Acceleration X: -113.39, Y: -133.61, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 1.19 rad/s

Acceleration X: 143.13, Y: -131.16, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -1.81 rad/s

Acceleration X: 80.93, Y: -127.48, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -5.08 rad/s

Acceleration X: 22.41, Y: -125.03, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -8.07 rad/s

Acceleration X: -42.24, Y: -122.58, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -11.07 rad/s

Acceleration X: -98.31, Y: -120.13, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -14.33 rad/s

Acceleration X: 153.31, Y: -116.45, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -17.33 rad/s

Acceleration X: 99.69, Y: -114.00, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -20.59 rad/s

Acceleration X: 38.72, Y: -111.55, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -23.59 rad/s

Acceleration X: -16.13, Y: -109.09, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -26.58 rad/s

Acceleration X: -78.32, Y: -105.42, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -29.85 rad/s

Acceleration X: -134.39, Y: -102.97, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -32.85 rad/s

Acceleration X: 122.13, Y: -100.51, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 33.63 rad/s

Acceleration X: 67.29, Y: -98.06, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 30.64 rad/s

Acceleration X: 1.41, Y: -94.38, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 27.64 rad/s

Acceleration X: -60.79, Y: -91.93, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 24.38 rad/s

Acceleration X: -125.44, Y: -89.48, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 21.38 rad/s

Acceleration X: 133.53, Y: -87.03, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 18.11 rad/s

Acceleration X: 70.11, Y: -83.35, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 15.12 rad/s

Acceleration X: 10.37, Y: -80.90, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 11.85 rad/s

Acceleration X: -54.29, Y: -78.45, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 8.86 rad/s

Acceleration X: -116.48, Y: -76.00, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 5.86 rad/s

Acceleration X: 131.46, Y: -72.32, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.59 rad/s

Acceleration X: 72.94, Y: -69.87, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.40 rad/s

Acceleration X: 5.84, Y: -67.42, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.67 rad/s

Acceleration X: -60.04, Y: -63.74, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.66 rad/s

Acceleration X: -127.14, Y: -61.29, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -9.66 rad/s

Acceleration X: 128.15, Y: -58.84, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -12.93 rad/s

Acceleration X: 65.96, Y: -56.38, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.92 rad/s

Acceleration X: 6.21, Y: -52.71, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -19.19 rad/s

Acceleration X: -60.89, Y: -50.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -22.18 rad/s

Acceleration X: -119.41, Y: -47.80, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -25.45 rad/s

Acceleration X: 133.43, Y: -45.35, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -28.44 rad/s

Acceleration X: 76.14, Y: -41.67, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -31.44 rad/s

Acceleration X: 12.71, Y: -39.22, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -34.71 rad/s

Acceleration X: -45.81, Y: -36.77, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 32.04 rad/s

Acceleration X: -109.23, Y: -34.32, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 28.78 rad/s

Acceleration X: 147.29, Y: -30.64, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 25.78 rad/s

Acceleration X: 86.32, Y: -28.19, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 22.79 rad/s

Acceleration X: 27.80, Y: -25.74, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 19.52 rad/s

Acceleration X: -36.86, Y: -23.29, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 16.53 rad/s

Acceleration X: -97.83, Y: -19.61, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 13.26 rad/s

Acceleration X: 152.56, Y: -17.16, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 10.26 rad/s

Acceleration X: 95.27, Y: -14.71, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.27 rad/s

Acceleration X: 28.17, Y: -12.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.00 rad/s

Acceleration X: -35.26, Y: -8.58, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 1.01 rad/s

Acceleration X: -106.03, Y: -6.12, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -2.26 rad/s

Acceleration X: 146.81, Y: -3.67, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -5.26 rad/s

Acceleration X: 78.48, Y: 0.01, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -8.52 rad/s

Acceleration X: 12.61, Y: 2.46, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -11.52 rad/s

Acceleration X: -54.50, Y: 4.91, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -14.51 rad/s

Acceleration X: -116.69, Y: 7.36, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -17.78 rad/s

Acceleration X: 132.47, Y: 11.04, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -20.77 rad/s

Acceleration X: 75.18, Y: 13.49, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.04 rad/s

Acceleration X: 11.76, Y: 15.95, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.04 rad/s

Acceleration X: -47.99, Y: 18.40, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.03 rad/s

Acceleration X: -113.87, Y: 22.07, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -33.30 rad/s

Acceleration X: 143.88, Y: 24.53, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 33.45 rad/s

Acceleration X: 82.91, Y: 26.98, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 30.19 rad/s

Acceleration X: 21.94, Y: 29.43, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 27.19 rad/s

Acceleration X: -42.72, Y: 33.11, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.92 rad/s

Acceleration X: 64.26, Y: 35.56, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.93 rad/s

Acceleration X: -1.62, Y: 38.01, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.93 rad/s

Acceleration X: -65.05, Y: 40.46, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 14.94 rad/s

Acceleration X: -129.69, Y: 44.14, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 11.67 rad/s

Acceleration X: 126.83, Y: 46.59, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 8.68 rad/s

Acceleration X: 62.18, Y: 49.04, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 5.41 rad/s

Acceleration X: -0.02, Y: 51.49, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 2.42 rad/s

Acceleration X: -72.03, Y: 55.17, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -0.58 rad/s

Acceleration X: -134.22, Y: 57.62, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -3.85 rad/s

Acceleration X: 116.17, Y: 60.08, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -6.84 rad/s

Acceleration X: 55.20, Y: 63.75, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -10.11 rad/s

Acceleration X: -9.46, Y: 66.20, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -13.10 rad/s

Acceleration X: -71.65, Y: 68.66, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -16.37 rad/s

Acceleration X: -135.08, Y: 71.11, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -19.37 rad/s

Acceleration X: 120.22, Y: 74.79, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -22.36 rad/s

Acceleration X: 59.25, Y: 77.24, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -25.63 rad/s

Acceleration X: -0.50, Y: 79.69, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -28.62 rad/s

Acceleration X: -66.38, Y: 82.14, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -31.89 rad/s

Acceleration X: -127.35, Y: 85.82, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 34.86 rad/s

Acceleration X: 124.27, Y: 88.27, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 31.87 rad/s

Acceleration X: 68.20, Y: 90.72, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 28.60 rad/s

Acceleration X: 2.33, Y: 93.17, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 25.60 rad/s

Acceleration X: -62.33, Y: 96.85, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 22.34 rad/s

Acceleration X: -126.97, Y: 99.30, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 19.34 rad/s

Acceleration X: 129.55, Y: 101.75, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 16.08 rad/s

Acceleration X: 71.03, Y: 104.21, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 12.81 rad/s

Acceleration X: 12.51, Y: 107.88, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 9.81 rad/s

Acceleration X: -52.15, Y: 110.33, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 6.55 rad/s

Acceleration X: -113.12, Y: 112.79, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 3.55 rad/s

Acceleration X: 139.73, Y: 115.24, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 0.28 rad/s

Acceleration X: 82.43, Y: 118.92, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -2.71 rad/s

Acceleration X: 17.78, Y: 121.37, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -5.71 rad/s

Acceleration X: -40.74, Y: 123.82, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -8.97 rad/s

Acceleration X: -106.61, Y: 127.50, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -11.97 rad/s

Acceleration X: 153.58, Y: 129.95, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -15.24 rad/s

Acceleration X: 96.29, Y: 132.40, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -18.23 rad/s

Acceleration X: 39.00, Y: 134.85, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -21.22 rad/s

Acceleration X: -23.20, Y: 138.53, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -24.49 rad/s

Acceleration X: -79.27, Y: 140.98, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -27.49 rad/s

Acceleration X: -141.47, Y: 143.43, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -30.75 rad/s

Acceleration X: 119.95, Y: 145.88, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -33.75 rad/s

Acceleration X: 60.21, Y: 149.56, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 33.00 rad/s

Acceleration X: 2.92, Y: 152.01, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 29.73 rad/s

Acceleration X: -61.74, Y: 154.46, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 26.74 rad/s

Acceleration X: -117.80, Y: -156.90, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 23.47 rad/s

Acceleration X: 135.04, Y: -153.22, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 20.48 rad/s

Acceleration X: 81.42, Y: -150.77, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 17.48 rad/s

Acceleration X: 20.45, Y: -148.32, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 14.22 rad/s

Acceleration X: -36.85, Y: -145.86, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 11.22 rad/s

Acceleration X: -97.82, Y: -142.19, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 7.95 rad/s

Acceleration X: -156.34, Y: -139.74, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 4.96 rad/s

Acceleration X: 96.51, Y: -137.28, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: 1.96 rad/s

Acceleration X: 36.76, Y: -134.83, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -1.30 rad/s

Acceleration X: -27.89, Y: -131.15, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -4.30 rad/s

Acceleration X: -86.41, Y: -128.70, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -7.57 rad/s

Acceleration X: -149.83, Y: -126.25, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -10.56 rad/s

Acceleration X: 109.14, Y: -122.57, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -13.83 rad/s

Acceleration X: 51.84, Y: -120.12, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -16.82 rad/s

Acceleration X: -4.23, Y: -117.67, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -19.82 rad/s

Acceleration X: -67.65, Y: -115.22, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -23.08 rad/s

Acceleration X: -123.72, Y: -111.54, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -26.08 rad/s

Acceleration X: 132.80, Y: -109.09, Z: -38.58 m/s^2
Rotation X: -3.27, Y: 0.00, Z: -29.35 rad/s

